Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,52.610001,55.799999,51.400002,55.110001,51.958118,98014
2018-02-01,55.349998,57.049999,48.650002,55.250000,52.090115,114059
2018-03-01,55.240002,55.450001,51.209999,53.820000,50.741901,66213
2018-04-01,53.820000,57.799999,51.750000,57.730000,54.626804,70474
2018-05-01,57.730000,63.000000,55.490002,61.639999,58.326637,139460
2018-06-01,61.700001,69.470001,61.189999,68.529999,64.846283,130661
2018-07-01,67.900002,68.500000,64.169998,66.110001,62.759983,113444
2018-08-01,66.139999,72.290001,65.459999,70.589996,67.012985,62705
2018-09-01,70.709999,73.529999,68.089996,73.269997,69.755424,87326
2018-10-01,73.500000,73.910004,62.200001,66.660004,63.462482,144420
2018-11-01,66.250000,68.839996,61.080002,66.169998,62.995995,46768
2018-12-01,67.639999,69.680000,59.060001,64.550003,61.662113,71177
2019-01-01,64.550003,71.919998,62.630001,71.089996,67.909523,81830
2019-02-01,71.410004,76.080002,70.410004,75.680000,72.294174,104032
2019-03-01,75.690002,77.910004,71.739998,75.570000,72.189102,63581
2019-04-01,75.489998,79.519997,74.269997,77.980003,74.708458,39472
2019-05-01,77.980003,77.980003,69.669998,69.669998,66.747078,79467
2019-06-01,68.940002,76.089996,68.510002,73.040001,70.192650,37089
2019-07-01,74.989998,79.970001,74.589996,77.889999,74.853577,54353
2019-08-01,77.970001,78.379997,70.110001,77.099998,74.094368,110224
2019-09-01,77.089996,85.769997,76.389999,85.769997,82.662872,84250
2019-10-01,86.389999,86.900002,79.980003,80.000000,77.101891,113279
2019-11-01,80.540001,86.309998,80.070000,84.980003,81.901497,51849
2019-12-01,85.339996,91.239998,82.440002,91.040001,87.994713,92794
2020-01-01,91.040001,95.330002,87.669998,87.720001,84.785751,132695
2020-02-01,87.809998,96.510002,77.099998,78.870003,76.231789,181587
2020-03-01,82.099998,84.800003,57.000000,77.160004,74.801323,591054
2020-04-01,74.699997,84.059998,71.519997,79.800003,77.360611,202260
2020-05-01,79.800003,91.620003,76.510002,87.650002,84.970642,130428
2020-06-01,87.650002,93.290001,82.029999,85.930000,83.529266,121233
2020-07-01,87.589996,88.599998,81.059998,81.589996,79.310501,64680
2020-08-01,82.650002,95.500000,82.110001,92.650002,90.061516,40001
2020-09-01,93.610001,113.480003,93.129997,106.779999,104.066147,98536
2020-10-01,107.620003,112.040001,102.239998,103.419998,100.791527,44508
2020-11-01,103.519997,116.680000,103.320000,112.239998,109.387375,70491
2020-12-01,113.459999,120.279999,111.160004,115.639999,112.700958,47927
2021-01-01,115.639999,121.660004,106.279999,109.959999,107.426994,59800
2021-02-01,110.839996,121.419998,109.000000,111.680000,109.107384,55218
2021-03-01,112.500000,123.000000,106.000000,113.260002,110.923531,121514
2021-04-01,113.339996,116.139999,105.480003,110.419998,108.142105,95103
2021-05-01,111.180000,114.599998,108.360001,112.019997,109.709106,80958
2021-06-01,111.980003,131.360001,107.099998,129.899994,127.530632,142288
2021-07-01,130.380005,141.380005,130.000000,140.759995,138.192520,70554
2021-08-01,141.500000,148.380005,139.160004,139.479996,136.935883,62766
2021-09-01,140.139999,140.580002,124.500000,125.699997,123.647270,110694
2021-10-01,125.820000,143.679993,124.360001,143.679993,141.333633,104122
2021-11-01,144.720001,157.619995,142.800003,150.000000,147.550415,83752
2021-12-01,150.979996,152.979996,137.759995,149.279999,146.842178,53328
2022-01-01,147.860001,148.339996,123.699997,130.600006,128.730865,127051
2022-02-01,132.039993,132.580002,113.879997,122.800003,121.042488,70574
2022-03-01,122.120003,126.379997,105.980003,123.059998,121.298767,109661
2022-04-01,123.239998,127.739998,114.019997,120.440002,119.013649,57635
2022-05-01,119.379997,120.779999,97.800003,109.519997,108.222969,55074
2022-06-01,111.480003,115.300003,96.750000,97.519997,96.365089,69787
2022-07-01,96.720001,111.000000,96.000000,110.779999,109.770432,49680
2022-08-01,112.800003,116.300003,105.720001,105.720001,104.756554,44157
2022-09-01,106.339996,111.860001,84.610001,86.400002,85.612617,87356
2022-10-01,84.849998,94.989998,83.760002,94.379997,93.791458,83040
2022-11-01,94.290001,104.620003,91.129997,103.059998,102.417328,57315
2022-12-01,105.000000,112.239998,95.760002,109.339996,108.658165,61024
